island,diversity,size,human_presence,forest_cover,ecosystem
1,19,0.6317359872830363,0,0.17126771815165542,boreal
2,68,2.017750619407533,1,0.46794014736645206,tropical
3,33,0.9718053752724998,0,0.5542057914547097,temperate
4,85,2.2327127855662785,1,0.7277789740766738,tropical
5,91,2.6587356052597393,1,0.9460644287344906,tropical
6,4,0.6540725963335211,1,0.00761638247194992,boreal
7,59,1.4496273657875094,0,0.5728840326529127,temperate
8,97,2.799523047380437,1,0.9332621756347431,tropical
9,60,1.9974015423848477,1,0.37975477723647133,temperate
10,49,1.5993587838032282,1,0.11199605096477272,temperate
11,95,2.3954926940445764,1,0.9153529272578547,tropical
12,43,1.0088375695842513,0,0.3906161192943483,temperate
13,57,2.084260979412003,1,0.6314237471993669,tropical
14,55,1.2598961651411493,0,0.44813390161787653,temperate
15,9,1.4549331972066306,1,0.05939090034322613,boreal
16,101,3.0330442504740756,1,0.9958516950942814,tropical
17,19,0.6857198563598093,0,0.29761595825160514,boreal
18,3,0.049431639877287666,0,0.03503939683641394,boreal
19,35,0.8158373745202796,0,0.3689963723209549,boreal
20,86,2.222753483662612,1,0.6489100303547651,tropical
21,88,2.0613232486150506,0,0.5785519240750655,tropical
22,71,1.6809829602409068,0,0.5602038107714961,tropical
23,63,1.2793525730939939,0,0.29727405229381887,temperate
24,98,2.341988910076432,0,0.7214566976522686,tropical
25,76,1.6060382122171697,0,0.47066555574068186,temperate
26,68,1.0928232253647454,0,0.17602644398419726,boreal
27,50,1.2479093918848951,0,0.5522140075666679,temperate
28,63,2.0275986436243065,1,0.5360334855849168,tropical
29,29,0.7498612149566433,0,0.14910282478799303,boreal
30,15,0.9431857288900133,1,0.01995947094958681,boreal
31,100,1.7528469166843343,0,0.6768076628450079,tropical
32,85,2.077775213790184,0,0.6912088836003987,tropical
33,86,2.3277628815773848,1,0.8687539413457207,tropical
34,67,1.8604613448666856,1,0.4638304700221302,tropical
35,3,0.5022704776595773,0,0.2795930498651478,boreal
36,56,1.2637175966778493,0,0.5360464534496256,temperate
37,81,1.680118261586567,0,0.6690287161957,tropical
38,23,0.4503484837580347,0,0.17416326674579136,boreal
39,36,1.1670586388400503,0,0.35413025468629616,boreal
40,22,0.46101015432607917,0,0.15044082526885183,boreal
41,13,0.4637770225197327,0,0.128371436932657,boreal
42,35,0.9975631231207011,0,0.3094491955173242,boreal
43,36,1.857544802092883,1,0.19097520443501434,boreal
44,40,0.9392200393218166,0,0.6303524509536172,temperate
45,15,0.7941546289139427,1,0.010281003303267719,boreal
46,11,0.6511843398254843,0,0.13189022321182972,boreal
47,24,0.4952573463479486,0,0.15552049386544906,boreal
48,45,1.2714767655505606,0,0.36892957610420124,temperate
49,26,1.4978203433693396,1,0.1449115159420728,temperate
50,89,2.360601621231686,1,0.8092544069305035,tropical
